2018-03-11 16:01:33 INFO  root:110 - Данные daily для Кисловодск дача сформированы
2018-03-11 16:01:33 INFO  root:119 - Измерение total_moth для Кисловодск дача есть1
2018-03-11 16:01:33 INFO  CustomerServiceImpl:118 - Contact saved with id: 134
2018-03-11 16:01:33 INFO  root:129 - Данные для преобразования excel для Кисловодск дача готовы
2018-03-11 16:01:33 INFO  root:133 - excel для Кисловодск дача сформирован
2018-03-11 16:01:33 INFO  root:110 - Данные daily для Кисловодская клника 4 кор. сформированы
2018-03-11 16:01:33 INFO  root:119 - Измерение total_moth для Кисловодская клника 4 кор. есть1
2018-03-11 16:01:33 INFO  CustomerServiceImpl:118 - Contact saved with id: 136
2018-03-11 16:01:33 INFO  root:129 - Данные для преобразования excel для Кисловодская клника 4 кор. готовы
2018-03-11 16:01:33 INFO  root:133 - excel для Кисловодская клника 4 кор. сформирован
2018-03-11 16:01:33 INFO  root:110 - Данные daily для Кирова 33 сформированы
2018-03-11 16:01:33 INFO  root:119 - Измерение total_moth для Кирова 33 есть1
2018-03-11 16:01:33 INFO  CustomerServiceImpl:118 - Contact saved with id: 137
2018-03-11 16:01:33 INFO  root:129 - Данные для преобразования excel для Кирова 33 готовы
2018-03-11 16:01:34 INFO  root:133 - excel для Кирова 33 сформирован
2018-03-11 16:01:34 INFO  root:110 - Данные daily для Кирова,36-2 сформированы
2018-03-11 16:01:34 INFO  root:119 - Измерение total_moth для Кирова,36-2 есть1
2018-03-11 16:01:34 INFO  CustomerServiceImpl:118 - Contact saved with id: 139
2018-03-11 16:01:34 INFO  root:129 - Данные для преобразования excel для Кирова,36-2 готовы
2018-03-11 16:01:34 INFO  root:133 - excel для Кирова,36-2 сформирован
2018-03-11 16:01:34 INFO  root:110 - Данные daily для Марлиан сформированы
2018-03-11 16:01:34 INFO  root:119 - Измерение total_moth для Марлиан есть1
2018-03-11 16:01:34 INFO  CustomerServiceImpl:118 - Contact saved with id: 143
2018-03-11 16:01:34 INFO  root:129 - Данные для преобразования excel для Марлиан готовы
2018-03-11 16:01:34 INFO  root:133 - excel для Марлиан сформирован
2018-03-11 16:01:34 INFO  root:110 - Данные daily для Нарзан Главный корпус сформированы
2018-03-11 16:01:34 INFO  root:119 - Измерение total_moth для Нарзан Главный корпус есть1
2018-03-11 16:01:34 INFO  CustomerServiceImpl:118 - Contact saved with id: 145
2018-03-11 16:01:34 INFO  root:129 - Данные для преобразования excel для Нарзан Главный корпус готовы
2018-03-11 16:01:34 INFO  root:133 - excel для Нарзан Главный корпус сформирован
2018-03-11 16:01:34 INFO  root:110 - Данные daily для Нерсесян А.А. сформированы
2018-03-11 16:01:34 INFO  root:119 - Измерение total_moth для Нерсесян А.А. есть1
2018-03-11 16:01:35 INFO  CustomerServiceImpl:118 - Contact saved with id: 148
2018-03-11 16:01:35 INFO  root:129 - Данные для преобразования excel для Нерсесян А.А. готовы
2018-03-11 16:01:35 INFO  root:133 - excel для Нерсесян А.А. сформирован
2018-03-11 16:01:35 INFO  root:110 - Данные daily для Орджоникидзе сформированы
2018-03-11 16:01:35 INFO  root:119 - Измерение total_moth для Орджоникидзе есть1
2018-03-11 16:01:35 INFO  CustomerServiceImpl:118 - Contact saved with id: 151
2018-03-11 16:01:35 INFO  root:129 - Данные для преобразования excel для Орджоникидзе готовы
2018-03-11 16:01:35 INFO  root:133 - excel для Орджоникидзе сформирован
2018-03-11 16:01:35 INFO  root:110 - Данные daily для Пикет сформированы
2018-03-11 16:01:35 INFO  root:119 - Измерение total_moth для Пикет есть1
2018-03-11 16:01:35 INFO  CustomerServiceImpl:118 - Contact saved with id: 152
2018-03-11 16:01:35 INFO  root:129 - Данные для преобразования excel для Пикет готовы
2018-03-11 16:01:35 INFO  root:133 - excel для Пикет сформирован
2018-03-11 16:01:36 INFO  root:110 - Данные daily для Плаза сформированы
2018-03-11 16:01:36 INFO  root:119 - Измерение total_moth для Плаза есть1
2018-03-11 16:01:36 INFO  CustomerServiceImpl:118 - Contact saved with id: 153
2018-03-11 16:01:36 INFO  root:129 - Данные для преобразования excel для Плаза готовы
2018-03-11 16:01:36 INFO  root:133 - excel для Плаза сформирован
2018-03-11 16:01:36 INFO  root:110 - Данные daily для Ростелеком сформированы
